"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"University of Florida, Florida Museum of Natural History","Malacology and Invertebrate Zoology","6bb853ab-e8ea-43b1-bd83-47318fc4c345","{""recordset"":""6bb853ab-e8ea-43b1-bd83-47318fc4c345""}","UF","Invertebrate Zoology","urn:uuid:056f2097-c584-4ea6-b15b-52b92e781769","","http://www.flmnh.ufl.edu/malacology/","http://www.flmnh.ufl.edu/scripts/dbs/malacol_pub.asp","Corals, Sea cucumbers, Barnacles, Hermit-crabs Terrestrial mollusks: Central America, Papua New Guinea, Madagascar, Pakistan, Thailand, Hispaniola, Southeast USA; Marine invertebrates: Indo-Pacific, Florida.","",500000,NA,"Corals, Sea cucumbers, Barnacles, Hermit-crabs","Terrestrial mollusks: Central America, Papua New Guinea, Madagascar, Pakistan, Thailand, Hispaniola, Southeast USA; Marine invertebrates: Indo-Pacific, Florida.","500000","John Slapcinsky","Collections Manager","slapcin@flmnh.ufl.edu","Division of Invertebrate Zoology, Florida Museum of Natural History, 1659 Museum Road","Gainesville","Florida","32611-7800","Division of Invertebrate Zoology, Florida Museum of Natural History, 1659 Museum Road","Gainesville","Florida","32611-7800","urn:uuid:7d736005-0375-4b30-8724-555fa4ed1b46","","","","","","",29.6449,-82.3446
"Cranbrook Institute of Science, Billington Herbarium","Herbarium","","","BLH<IH>","","urn:uuid:0572d0e6-16e9-4572-b5b4-1bf9110124eb","http://biocol.org/urn:lsid:biocol.org:col:12896","http://science.cranbrook.edu/science-central/collections/from-collections","","vascular plants mostly Michigan","",59000,NA,"vascular plants","mostly Michigan","59,000","Cameron Wood","Curator of Collections","cwood@cranbrook.edu","39221 Woodward Ave","Bloomfield Hills","Michigan","48303-0801","39221 Woodward Ave","Bloomfield Hills","Michigan","48303-0801","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124349","","",42.5963,-83.2575
"University of New Mexico, Museum of Southwestern Biology","Arthropods","7fcdca8e-7469-480c-8516-cce4e24c37c9","{""recordset"":""7fcdca8e-7469-480c-8516-cce4e24c37c9""}","MSB","","urn:uuid:05aae347-644b-4c97-9d2d-80d1a7111b23","","http://msb.unm.edu/arthropods/index.html","http://symbiota1.acis.ufl.edu/scan/portal/index.php","","",NA,NA,"","","","Sandra Brantley","Collection Manager","sbrantle@unm.edu","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","urn:uuid:83441270-bc50-4e1d-9eb9-42d4e3255bf4","","","","","","",35.0832,-106.6218
"Washington State University, Marion Ownbey Herbarium","Herbarium","f5c38252-89f1-4753-af3a-da8818fe3a86","{""recordset"":""f5c38252-89f1-4753-af3a-da8818fe3a86""}","WS<IH>","","urn:uuid:05ae8c6c-21b3-4140-81d5-5a2d776ab2cd","urn:lsid:biocol.org:col:15672","http://sbs.wsu.edu/herbarium/","http://herbaria.wsu.edu/web/default.aspx","Apiaceae; Bromeliaceae; Cyperaceae; Liliaceae; Scrophulariaceae; Asteraceae Vascular plants and bryophytes of Pacific Northwest","",365000,NA,"Apiaceae; Bromeliaceae; Cyperaceae; Liliaceae; Scrophulariaceae; Asteraceae","Vascular plants and bryophytes of Pacific Northwest","365000","Larry Hufford","Director","hufford@mail.wsu.edu","School of Biological Sciences, P.O. Box 644236","Pullman","Washington","99164-4236","Heald Hall G-9.","Pullman","Washington","99164-4236","urn:uuid:dceacab1-6442-45de-aa3d-7ff63de1d220","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126987","","",46.7275,-117.1763
"University of Colorado Museum of Natural History","Paleontology - Vertebrates and Ichnofossils","540b0fd9-6b39-4217-9e9a-5f452fb6318d","{""recordset"":""540b0fd9-6b39-4217-9e9a-5f452fb6318d""}","UCM","VP","urn:uuid:05cd0986-4195-44aa-a61a-fbade80a8d25","http://biocol.org/urn:lsid:biocol.org:col:34854"," https://www.colorado.edu/cumuseum/research-collections/paleontology/vertebrates-ichnofossils","https://fossilvertebratesandtraces.colorado.edu/","","",NA,NA,"","","","Jacob Van Veldhuizen","Collection Manager","jacob.vanveldhuizen@colorado.edu","265 UCB MCOL","Boulder","Colorado","80309-0265","1440 Central Campus Mall, Bruce Curtis Building","Boulder","Colorado","80309-001","urn:uuid:95b63d9a-13b5-4124-8fb1-54d3ab4be3bc","","","","","","",40.0075,-105.1741
"William and Lynda Steere Herbarium of the New York Botanical Garden","Herbarium","00d9fcc1-c8e2-4ef6-be64-9994ca6a32c3, ec4289d8-1114-43b9-9f04-ad809aa1dbe3, 29d217e3-754b-4a72-9e57-5cd05312e7c0, 36d35b23-113e-4633-90ec-19d265a3b5f6","{""recordset"":[""00d9fcc1-c8e2-4ef6-be64-9994ca6a32c3"",""ec4289d8-1114-43b9-9f04-ad809aa1dbe3"",""29d217e3-754b-4a72-9e57-5cd05312e7c0"",""36d35b23-113e-4633-90ec-19d265a3b5f6""]}","NY<IH>","","urn:uuid:05d096c8-71a4-40b0-a863-312223b60b99","urn:lsid:biocol.org:col:15556","http://www.nybg.org/","","","",NA,NA,"","","","Barbara M. Thiers","Director","bthiers@nybg.org","New York Botanical Garden, 2900 Southern Blvd.","Bronx","New York","10458-5126","200th Street (Bedford Park Boulevard) and Southern Boulevard (Kazimiroff Boulevard), New York Botanical Garden, 2900 Southern Blvd.","Bronx","New York","10458-5126","urn:uuid:6af808fe-94a2-4998-a8b3-da8e9e67df29","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125525","","",40.8571,-73.8808
"Utah State University, Intermountain Herbarium","Herbarium","0c15e83e-79ee-4ee3-86e3-e5f98a51dc11, 215eeaf0-0a88-409e-a75d-aec98b7c41eb,b1c7a275-21f6-4b66-895d-d497359b34a1, caaa464d-e290-4761-8550-75edc6d00119","{""recordset"":[""0c15e83e-79ee-4ee3-86e3-e5f98a51dc11"",""215eeaf0-0a88-409e-a75d-aec98b7c41eb"",""b1c7a275-21f6-4b66-895d-d497359b34a1"",""caaa464d-e290-4761-8550-75edc6d00119""]}","UTC<IH>","","urn:uuid:05e1cfea-8ee9-437b-97be-09d8d7c63e82","","http://herbarium.usu.edu/","http://intermountainbiota.org/portal/index.php","","",NA,NA,"","","","Mary Barkworth","Director","stipoid@cc.usu.edu","5305 Old Main Hill","Logan","Utah","84322-5305","5305 Old Main Hill","Logan","Utah","84322-5305","urn:uuid:10ef34e8-6777-4cdd-b973-80218f3b8d65","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126931","","",41.3881,-112.033
"New Mexico Museum of Natural History and Science","Bioscience","cd9e44d9-40cd-4a75-ab9c-4db2ac9e87ea","{""recordset"":""cd9e44d9-40cd-4a75-ab9c-4db2ac9e87ea""}","NMMNH","","urn:uuid:06035272-8dd1-4841-bf7c-6d22255b55bc","","http://www.nmnaturalhistory.org/bioscience-collections.html","","","",NA,NA,"","","","Lindsey Frederick","Collections Manager","Lindsey.Frederick@state.nm.us","1801 Mountain Road NW","Albuquerque","New Mexico","87104","1801 Mountain Road NW","Albuquerque","New Mexico","87104","","","","","","","",35.0977,-106.666
"Cleveland Museum of Natural History","Vertebrate Paleontology","","","CMNH","","urn:uuid:06729a4b-9714-4469-ac04-5075feebc58b","","https://www.cmnh.org/discover/science/vert-paleo","","","",NA,NA,"","","","Michael Ryan","Curator","mryan@cmnh.org","1 Wade Oval, University Circle","Cleveland","Ohio","44106","1 Wade Oval, University Circle","Cleveland","Ohio","44106","urn:uuid:459bfca4-320a-4625-8eb1-ee54c6d1ef81","","","","","","",41.5074,-81.6072
"Denver Museum of Nature & Science","Invertebrate Paleontology","","","DMNS","","urn:uuid:06b6829e-f186-4664-ad79-38c164b085b1","","http://www.dmns.org/science/collections/earth-science-collections/","http://www.paleoportal.org/portal/","","",NA,NA,"","","","James Hagardorn","Curator","jwhagadorn@dmns.org","2001 Colorado Blvd","Denver","Colorado","80205","2001 Colorado Blvd","Denver","Colorado","80205","urn:uuid:75a457ae-5214-4b6a-9eab-178d6cf4a780","","","","","","",39.7583,-104.9406
"Buffalo Museum of Science","Vertebrate Zoology","","","BSNS","","urn:uuid:06e3e47e-5a67-4280-9f0e-acc2cf547021","","http://www.sciencebuff.org/collections/research-collections/vertebrate-zoology/","","","",NA,NA,"","","","Sara Morris","Research Scientist","morriss@canisius.edu","1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","","","","","","","",42.908,-78.8431
"American Museum of Natural History","Paleontology, Fossil Amphibians, Reptiles, and Birds","","","AMNH","","urn:uuid:07107980-ec8e-4b3c-acbf-e30a63e7495b","","http://www.amnh.org/our-research/paleontology/collections/fossil-amphibians-reptiles-and-birds","http://research.amnh.org/paleontology/search.php","","",NA,NA,"","","","Mark Norell","Curator-in-charge","norell@amnh.org","Central Park West at 79th St","New York","New York","10024-5192","Central Park West at 79th St","New York","New York","10024-5192","urn:uuid:a312a5eb-8a63-4ef7-b57c-6bbea34f37c3","","","","","","",40.7866,-73.9684
"Lynchburg College, Ramsey-Freer Herbarium","Herbarium","","","LYN<IH>","","urn:uuid:075d4a15-19e1-4003-a6c1-f8a2c095a0cc","urn:lsid:biocol.org:col:15283","","","Emphasis on Central Virginia Blue Ridge Mountains and piedmont vascular plants. Collection includes specimens from around the world.","",64000,NA,"","Emphasis on Central Virginia Blue Ridge Mountains and piedmont vascular plants. Collection includes specimens from around the world.","64000","Nancy E. Cowden","Curator","cowden@lynchburg.edu","Biology Department, 1501 Lakeside Drive","Lynchburg","Virginia","24501-3199","","Lynchburg","Virginia","24501-3199","urn:uuid:d2b31bf1-1c9f-48a2-b7b7-a05ef1085b03","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125193","","",37.3596,-79.1417
"Illinois State Museum","Botany","","","ISM<IH>","","urn:uuid:07681538-7e7c-4455-a10a-2fd671709af5","urn:lsid:biocol.org:col:13267","http://www.museum.state.il.us/ismdepts/botany/herbarium/ISM_herbarium.html","http://www.museum.state.il.us/ismdepts/botany/herbarium/","","",NA,NA,"","","","Hong Qian","Curator","hqian@museum.state.il.us","1011 East Ash Street.","Springfield","Illinois","62703","1011 East Ash Street.","Springfield","Illinois","62703","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124803","","",39.7794,-89.6432
"Inyo National Forest","Herbarium","","","INF<IH>","","urn:uuid:077b7041-2b5b-45cd-a6a9-097cad6014f6","","","","plants of Inyo National Park","",4000,NA,"plants of Inyo National Park","","4000","Michèle Slaton","Ecology","mslaton02@fs.fed.us","351 Pacu Lane, Suite 200","Bishop","California","93514","351 Pacu Lane, Suite 200","Bishop","California","93514","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=245460","","",37.8527,-118.2884
"Field Museum of Natural History","Fossil Reptiles and Amphibians","","","FMNH","P, UC, PR, UR, CUP","urn:uuid:07a7aa2a-5a26-4a6b-a31e-3e185ee24757","","http://fieldmuseum.org/explore/department/geology/fossil-amphibians-and-reptiles","","Early Permian (US); Early Permian, Permo/Triassic (South Africa); Mississippian tetrapods (Iowa); Paleozoic tetrapods (Pennsylvanian, Permian), fossil turtles from Cretaceous (Alabama) and Eocene (Wyoming); Mesozoic dinosaurs (N. Amer, Madagascar, Antarctica), crocs (US, Madagascar), synapsids (SW US, South Africa, Madagascar), Mazon Creek herps, Green River Fm. herps, Pennslyvanian/Permian lepospondyls, PermoTriassic Temnospondyls from N. America, S. Africa Mostly North America, but some worldwide coverage. Colombia, Brazil, Peru, Argentina, Bolivia, Algeria, South Africa, Madagascar, England, Germany, Austria, China, Mongolia, Australia, Antarctica.","",NA,NA,"Early Permian (US); Early Permian, Permo/Triassic (South Africa); Mississippian tetrapods (Iowa); Paleozoic tetrapods (Pennsylvanian, Permian), fossil turtles from Cretaceous (Alabama) and Eocene (Wyoming); Mesozoic dinosaurs (N. Amer, Madagascar, Antarctica), crocs (US, Madagascar), synapsids (SW US, South Africa, Madagascar), Mazon Creek herps, Green River Fm. herps, Pennslyvanian/Permian lepospondyls, PermoTriassic Temnospondyls from N. America, S. Africa","Mostly North America, but some worldwide coverage. Colombia, Brazil, Peru, Argentina, Bolivia, Algeria, South Africa, Madagascar, England, Germany, Austria, China, Mongolia, Australia, Antarctica.","","William F. Simpson","Collections Manager, Fossil Vertebrates","simpson@fieldmuseum.org","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a","","","","","","",41.8691,-87.6176
"University of North Carolina Wilmington, David J. Sieren Herbarium","Herbarium","b00cf471-6bbe-4f94-846e-288900398b65","{""recordset"":""b00cf471-6bbe-4f94-846e-288900398b65""}","WNC<IH>","","urn:uuid:07ad48a2-780d-4e1d-b87a-8a17e17f05e3","urn:lsid:biocol.org:col:15185","","","","",21000,NA,"","","21000","Paul Hosier","Director","hosierp@uncw.edu","Department of Biology and Marine Biology, 601 S. College Rd.","Wilmington","North Carolina","28403-5915","601 South College Road.","Wilmington","North Carolina","28403-5915","urn:uuid:026f9491-cab1-4ff5-82d5-12d57669c47e","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126765","","",34.2401,-77.8709
"University of Tulsa","Herbarium","","","TULS<IH>","","urn:uuid:07ed6190-a075-4059-9d52-a28d056f972a","urn:lsid:biocol.org:col:14653","","","","",NA,NA,"","","","","","","Faculty of Natural Sciences","Tulsa","Oklahoma","74104-3189","600 South College Avenue.","Tulsa","Oklahoma","74104-3189","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126875","","",36.1513,-95.9462
"Nantucket Maria Mitchell Association","Herbarium","","","NMMA<IH>","","urn:uuid:07f24da6-d634-4eca-9862-aab204fbdfc8","urn:lsid:biocol.org:col:13695","","","","",NA,NA,"","","","Julia Blyth","Collections Manager","jablyth@gmail.com","Natural Sciences Department, 4 Vestal Street","Nantucket","Massachusetts","02554-0000","Maria Mitchell Association 4 Vestal Street","Nantucket","Massachusetts","02554-0000","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125422","","",41.2876,-70.0867
"Wichita State University Biodiversity Laboratory","Entomology","e9607b87-6dcb-4ffa-a4bf-d17ac197ca70","{""recordset"":""e9607b87-6dcb-4ffa-a4bf-d17ac197ca70""}","WICH","WICHI","urn:uuid:08022e0b-b6c0-494e-a301-fe76c2143b91","","","","","",NA,NA,"","","","Mary Liz Jameson","","MaryLiz.Jameson@gmail.com","512 Hubbard Hall","Wichita","Kansas","67260","512 Hubbard Hall","Wichita","Kansas","67260","urn:uuid:5948c340-c83a-4160-99d7-1e12ce5c8564","","","","","","",37.7194,-97.2929
"Muhlenberg College, Acopian Center for Ornithology","Ornithology","","","MCA","","urn:uuid:083fc2c0-f36f-11e4-b342-002315492bbc","","http://ACO.muhlenberg.edu","http://www.muhlenberg.edu/main/academics/biology/faculty/klem/ACO/ListingofSpecies23Sept13.pdf","","",2500,NA,"","","2500","Peter G. Saenger","Manager","psaenger@muhlenberg.edu","Biology Department","Allentown","Pennsylvania","18104-5586","2400 Chew Street.","Allentown","Pennsylvania","18104-5586","","","","","","","",40.5883,-75.5394
"University of Kansas, Biodiversity Institute and Natural History Museum","Invertebrate Paleontology","95ecb448-3c1f-4145-8565-4f6d51beb62c","{""recordset"":""95ecb448-3c1f-4145-8565-4f6d51beb62c""}","KU","KUMIP","urn:uuid:08608977-99ed-4080-b6ac-6edac38205d7","http://grbio.org/cool/2m43-qq35","http://invertebratepaleontology.biodiversity.ku.edu/","http://invertebratepaleontology.biodiversity.ku.edu/collections-search","Late Paleozoic and Cretaceous invertebrate fossils from the central part of the United States. Cambrian trilobites. Antarctic trilobites. Global with special emphasis on North America.","",950000,NA,"Late Paleozoic and Cretaceous invertebrate fossils from the central part of the United States. Cambrian trilobites. Antarctic trilobites.","Global with special emphasis on North America.","950000","Bruce Lieberman","Curator","blieber@ku.edu","Biodiversity Institute, Dyche Hall, 1345 Jayhawk Boulevard","Lawrence","Kansas","66045","Biodiversity Institute, Dyche Hall, 1345 Jayhawk Boulevard","Lawrence","Kansas","66045","urn:uuid:356736e8-9e70-4516-bf04-1ad72ca6604f","","","","","","",38.9574,-95.2459
"Columbus State University","Herbarium","","","COLG<IH>","","urn:uuid:08c0c595-c624-41cf-b7ed-83c3c98a0cef","urn:lsid:biocol.org:col:12880","","","","",NA,NA,"","","","Julie A. Ballenger","Director","ballenger_julie@columbusstate.edu","Biology Department","Columbus","Georgia","31907-5645","","Columbus","Georgia","31907-5645","urn:uuid:d1095270-d466-4f27-89e8-961865f4ad74","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124323","","",32.4913,-84.9249
"University of Alaska Museum of the North","Herbarium","9b34b218-efb2-43b9-9b9e-dac3c470a9f9, 821c1855-6817-40ee-8732-7f472d238513, 8445ab25-ff89-44b0-90f8-bf0790f50afc, b6ec6203-09db-4d6e-8cba-ee4bebd2934c, df22987f-d20d-41db-b8eb-8b5f5fca6df0, d55edb72-ed5a-4d59-ac23-6329f4c0c232","{""recordset"":[""9b34b218-efb2-43b9-9b9e-dac3c470a9f9"","" 821c1855-6817-40ee-8732-7f472d238513"","" 8445ab25-ff89-44b0-90f8-bf0790f50afc"","" b6ec6203-09db-4d6e-8cba-ee4bebd2934c"","" df22987f-d20d-41db-b8eb-8b5f5fca6df0"","" d55edb72-ed5a-4d59-ac23-6329f4c0c232\""""]}","ALA<IH>","","urn:uuid:08ce2f42-5009-4222-91eb-48e8f1522eda","urn:lsid:biocol.org:col:15621","http://www.uaf.edu/museum/collections/herb/","http://arctos.database.museum/uam_herb","","",NA,NA,"","","","Steffi M. Ickert-Bond","Curator","smickertbond@alaska.edu","PO Box 756960, 907 Yukon Drive","Fairbanks","Alaska","99775-6960","907 Yukon Drive","Fairbanks","Alaska","99775-6960","urn:uuid:447d59d3-b1e3-4419-a2a9-ea5b36b3f26e","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126584","","",64.858,-147.8261
